#Selection name: Selection 3
#Area (µm^2): 2546.05
"#Panel genes not included: "
Gene,Count,Density (µm^-2)
FOXP3,0,0
FSTL3,1,0.00039276496792553707
FXYD2,0,0
GATA2,0,0
GATM,5,0.0019638248396276854
GCG,0,0
GDF15,0,0
GEM,2,0.0007855299358510741
GHRL,0,0
GKN2,0,0
GLIPR1,0,0
GLYATL1,0,0
GNG11,0,0
GNLY,0,0
GPC1,9,0.003534884711329834
GPC3,0,0
GPR183,0,0
GPRC5A,0,0
GPX2,0,0
GYPA,0,0
GYPB,0,0
GZMA,0,0
GZMB,0,0
GZMK,0,0
HAMP,0,0
HAVCR2,0,0
HEMGN,0,0
HEPACAM2,0,0
HES4,0,0
HIGD1B,0,0
HLA-DQB2,0,0
HMGCS2,0,0
HPGDS,0,0
HPX,0,0
IGF1,0,0
IGSF6,0,0
IL1R2,0,0
IL1RL1,0,0
IL2RA,0,0
IL3RA,0,0
IL7R,0,0
INMT,0,0
INS,0,0
IRF8,0,0
KCNK3,0,0
KCNMA1,5,0.0019638248396276854
KIT,0,0
KLK11,0,0
KLRB1,0,0
KLRC1,0,0
KLRD1,0,0
KNG1,0,0
KRT20,0,0
KRT7,0,0
LAG3,0,0
LAMP3,0,0
LGI4,0,0
LGR5,11,0.004320414647180908
LIF,0,0
LILRA4,0,0
LILRA5,0,0
LILRB2,0,0
LILRB4,0,0
LPL,1,0.00039276496792553707
LTBP2,0,0
LY6D,0,0
LY86,0,0
LYVE1,0,0
MALL,0,0
MAMDC2,2,0.0007855299358510741
MARCO,0,0
MCEMP1,0,0
MCF2L,0,0
MDM2,15,0.005891474518883056
MEDAG,1,0.00039276496792553707
MEF2C,25,0.009819124198138428
MEST,0,0
MET,2,0.0007855299358510741
MFAP5,0,0
MKI67,0,0
MLANA,0,0
MLPH,0,0
MMRN1,0,0
MMRN2,1,0.00039276496792553707
MNDA,0,0
MPEG1,0,0
MRC1,0,0
MS4A1,0,0
MS4A2,0,0
MS4A4A,0,0
MS4A6A,0,0
MTRNR2L11,0,0
MYBPC1,159,0.0624496299001604
MYC,13,0.005105944583031982
MYH11,0,0
MYLK,0,0
MZB1,0,0
NAT8,0,0
NKG7,0,0
NPDC1,0,0
NTN4,0,0
OGN,0,0
OPRPN,0,0
PCNA,2,0.0007855299358510741
PCOLCE,0,0
PCP4,0,0
PCSK2,0,0
PDCD1,0,0
PDGFRA,1,0.00039276496792553707
PDGFRB,1,0.00039276496792553707
PDPN,2,0.0007855299358510741
PEBP4,6,0.0023565898075532227
PECAM1,0,0
PGR,0,0
PLA2G7,0,0
PLAC9,0,0
PLCG2,0,0
PLD4,0,0
PLIN4,22,0.008640829294361815
PMP22,13,0.005105944583031982
PPARG,0,0
PPP1R1A,8,0.0031421197434042965
PPP1R1B,0,0
PPY,0,0
PRDM1,0,0
PRF1,0,0
PRG4,0,0
PROX1,2,0.0007855299358510741
PTGDS,0,0
PTN,0,0
PTPRC,0,0
PVALB,0,0
RAMP2,0,0
RAPGEF3,0,0
RBP5,0,0
RERGL,0,0
RETN,0,0
RGS16,0,0
RIDA,7,0.0027493547754787596
RND1,0,0
RTKN2,0,0
S100A1,17,0.006677004454734131
S100A12,0,0
SCGB2A1,0,0
SCGN,0,0
SELE,0,0
SELL,0,0
SEMA3C,3,0.0011782949037766114
SERPINB2,0,0
SERPINB3,0,0
SERPINB9,0,0
SFRP2,0,0
SFRP4,0,0
SFTA2,0,0
SH2D3C,0,0
SLAMF1,0,0
SLAMF7,0,0
SLC18A2,0,0
SLC22A8,0,0
SLC26A2,0,0
SLC26A3,0,0
SLC4A1,0,0
SMIM24,0,0
SMYD2,3,0.0011782949037766114
SNAI1,1,0.00039276496792553707
SNCA,0,0
SNCG,0,0
SNTN,0,0
SOX17,0,0
SOX18,0,0
SOX2,0,0
SPDEF,0,0
SPI1,0,0
SPIB,0,0
SRPX,0,0
SST,0,0
STC1,0,0
STC2,0,0
STEAP4,0,0
TAC1,0,0
TAT,0,0
TBX3,1,0.00039276496792553707
TCF15,0,0
TCF4,1,0.00039276496792553707
TCIM,0,0
TCL1A,0,0
TENT5C,1,0.00039276496792553707
TFF2,0,0
TFPI,4,0.0015710598717021483
THAP2,0,0
THBS2,0,0
THY1,0,0
TIMP4,1,0.00039276496792553707
TM4SF18,0,0
TM4SF4,0,0
TMC5,0,0
TMEM100,0,0
TMEM174,0,0
TMEM52B,0,0
TNC,0,0
TNFRSF13B,0,0
TNFRSF17,0,0
TNFRSF9,0,0
TOP2A,0,0
TRAC,0,0
TREM2,0,0
TSPAN19,0,0
UBE2C,0,0
UMOD,0,0
UPK3B,0,0
VCAN,0,0
VSIG4,0,0
VWA5A,0,0
VWF,0,0
